Entity,Code,Year,Total tree cover loss
Brazil,BRA,2001,2746361.5
Brazil,BRA,2002,3507049.5
Brazil,BRA,2003,3248526.8
Brazil,BRA,2004,3848771
Brazil,BRA,2005,3486562.8
Brazil,BRA,2006,2876804.8
Brazil,BRA,2007,2621820.2
Brazil,BRA,2008,2444308
Brazil,BRA,2009,1817901.2
Brazil,BRA,2010,2688896.2
Brazil,BRA,2011,1923363.6
Brazil,BRA,2012,2918633.2
Brazil,BRA,2013,1945506.2
Brazil,BRA,2014,2693134.2
Brazil,BRA,2015,2222772.5
Brazil,BRA,2016,5378844
Brazil,BRA,2017,4519833
Brazil,BRA,2018,2948462.2
Brazil,BRA,2019,2696748.8
Brazil,BRA,2020,3291391.8
Brazil,BRA,2021,2991909.2
Brazil,BRA,2022,3308930.5
Brazil,BRA,2023,2806057.5
China,CHN,2001,230289.11
China,CHN,2002,249150.95
China,CHN,2003,261761.5
China,CHN,2004,501543.8
China,CHN,2005,383590.34
China,CHN,2006,575232.9
China,CHN,2007,652978.7
China,CHN,2008,738031.3
China,CHN,2009,599603.25
China,CHN,2010,627825.9
China,CHN,2011,598586.6
China,CHN,2012,605004.44
China,CHN,2013,441325.88
China,CHN,2014,531643.3
China,CHN,2015,490444.56
China,CHN,2016,718689.1
China,CHN,2017,644239.3
China,CHN,2018,569453
China,CHN,2019,496972.44
China,CHN,2020,422214.38
China,CHN,2021,536655.75
China,CHN,2022,611895.7
China,CHN,2023,602595
Germany,DEU,2001,15286.381
Germany,DEU,2002,15303.263
Germany,DEU,2003,6448.6177
Germany,DEU,2004,44939.98
Germany,DEU,2005,39738.5
Germany,DEU,2006,42652.883
Germany,DEU,2007,93223.625
Germany,DEU,2008,61696.17
Germany,DEU,2009,28761.543
Germany,DEU,2010,75677.99
Germany,DEU,2011,34271.55
Germany,DEU,2012,26007.354
Germany,DEU,2013,15499.368
Germany,DEU,2014,21169.344
Germany,DEU,2015,12929.493
Germany,DEU,2016,26877.059
Germany,DEU,2017,33000.277
Germany,DEU,2018,52237.227
Germany,DEU,2019,108232.51
Germany,DEU,2020,186939.64
Germany,DEU,2021,202277.81
Germany,DEU,2022,86449.98
Germany,DEU,2023,122937.34
