"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,465525.97231393653276557,300511481.2720292364303632
"BRA",2002,1621738.19442358997827242,983072214.5035105765275581
"BRA",2003,1570540.46331468678713439,935961238.560120184048015
"BRA",2004,2016350.02973847703390774,1248727582.763186046763201
"BRA",2005,1824217.99031233631677056,1176100241.6113659579412360
"BRA",2006,1415536.41629046974987327,898809395.126379546879179
"BRA",2007,1149515.26905802779976921,703528979.860607057651392
"BRA",2008,1075087.16760817308248354,681862567.681599415783057
"BRA",2009,700115.59448381159957703,464194462.611320463882409
"BRA",2010,1152945.07827983876386794,693340639.709824200628681
"BRA",2011,802919.54535918414154010,489157727.256510190845466
"BRA",2012,1116048.96108620864608565,696393439.291226965597831
"BRA",2013,632076.58714991381637906,402837684.319136950711344
"BRA",2014,940789.98314357094596058,593491169.156711757485446
"BRA",2015,828839.64549306630721244,519553179.273411455190600
"BRA",2016,2830943.10206729268913594,1374364794.378531933354652
"BRA",2017,2134474.39959765914145481,1089598771.4615125425189167
"BRA",2018,1347176.89306795691331169,827860083.531696968356990
"BRA",2019,1361053.86410734453709209,853128638.949741668372523
"BRA",2020,1703491.70818742168071528,916349437.5203096197506616
"BRA",2021,1546964.77207570124005887,960263263.768757457170264
"BRA",2022,1772214.80163237495986115,1131536263.004958874078710
"BRA",2023,1136250.99273872995366136,675646248.642833824910310
"BRA",2024,2823646.58160751416471442,1198900510.1416190953161985
